,day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
1965,5,2016,8,12,12/08/2016,74.3,72.2,1012.8,4.5,12.3,18.1,24.1,79,71.1,0,999.9,1,729
1966,3,2017,8,23,23/08/2017,72.3,70.9,1009.1,6.3,12.4,18.1,24.1,78.1,68,0,999.9,0,629
1967,7,2015,8,9,09/08/2015,67,62.1,1014.6,9.2,13.1,18.1,26,77,64,0,999.9,0,489
1969,5,2014,8,29,29/08/2014,67.2,53.4,1018.9,10,10.8,18.1,22,78.1,59,0.03,999.9,0,631
1970,6,2014,8,23,23/08/2014,65.6,60.1,1017.9,9.8,10.8,18.1,22.9,73,57.9,0.02,999.9,0,454
1971,2,2016,8,23,23/08/2016,69,52.6,1023.1,10,10.4,18.1,26,81,64,0.01,999.9,0,637
1972,1,2013,8,26,26/08/2013,68.3,64.1,1020.1,10,11.2,19,22,75,50,0,999.9,0,521
1973,6,2013,8,24,24/08/2013,66.2,55.2,1022.3,10,10.7,19,24.1,77,55.9,0,999.9,0,527
1974,3,2013,8,14,14/08/2013,68.4,59.6,1007.5,8.3,9.6,19,24.1,73,64,0.5,999.9,0,622
1975,4,2019,8,8,08/08/2019,73.3,69.8,1007.8,9.4,11.5,19,54,78.1,61,0,999.9,0,646
1976,7,2018,8,19,19/08/2018,68.5,65.5,1013.6,8.9,13.1,19,24.1,81,66,0.01,999.9,0,490
1977,4,2014,8,28,28/08/2014,71,62.4,1009.4,6.8,8.8,19,27,78.1,59,0.01,999.9,1,618
1978,5,2018,8,31,31/08/2018,69.9,63.6,1023.8,10,13,19,24.1,73.9,63,0,999.9,0,623
1979,6,2019,8,10,10/08/2019,71.2,62.7,1007.8,10,10.5,20,24.1,78.1,64,0,999.9,0,572
1981,5,2012,8,10,10/08/2012,75.3,71.3,1011.6,7.6,5.4,20,23.9,79,66.2,0,999.9,1,617
1982,5,2012,8,31,31/08/2012,78.7,56.1,1016.3,9.9,3.9,20,27,90,68,0,999.9,0,701
1983,5,2013,8,9,09/08/2013,70.7,68.8,1016.9,9.3,13.1,21,27,75,61,0.03,999.9,0,579
1984,3,2016,8,17,17/08/2016,76.5,70,1014.4,8.4,14.7,21,28,82,70,0,999.9,0,658
1987,1,2019,8,26,26/08/2019,64.3,57.8,1022.1,10,13.7,21,28,71.1,60.1,0,999.9,0,494
1988,7,2012,8,12,12/08/2012,77.8,65.4,1012.5,8.7,5.7,22,29.9,84.9,69.8,0.62,999.9,0,505
1989,3,2014,8,13,13/08/2014,66.6,63.5,1013,8.4,15.5,22,28,75,60.1,0.39,999.9,0,572
1990,5,2013,8,23,23/08/2013,70.6,65,1013.1,7.8,12.1,22.9,28,77,63,0,999.9,0,636
1991,7,2019,8,25,25/08/2019,65.5,59.5,1023.9,10,13.6,22.9,32.1,72,61,0,999.9,0,482
2032,5,2016,9,16,16/09/2016,57.7,47.7,1026.5,10,6.4,9.9,15,66.9,48,0,999.9,0,780
2039,4,2014,9,18,18/09/2014,61.1,47.4,1014.7,10,5,11.1,15,72,48,0,999.9,0,650
2042,6,2018,9,1,01/09/2018,65,59.4,1026.7,10,7.2,11.1,17.1,75,55.9,0,999.9,0,529
2047,3,2015,9,9,09/09/2015,75.8,71,1013.9,7.6,10.3,12,18.1,81,71.6,0,999.9,1,740
2050,7,2012,9,23,23/09/2012,63.8,50.3,1015.4,9,6.4,12,15.9,72,55.4,0.22,999.9,0,480
2059,7,2015,9,27,27/09/2015,59.4,50.9,1031.1,10,7,12,15.9,70,48,0,999.9,0,493
2064,1,2012,9,24,24/09/2012,59,40.4,1020,10,3.3,12,20,66.2,53.1,0,999.9,0,562
2067,2,2013,9,24,24/09/2013,54.5,42.7,1013,10,8.4,13,19,61,46,0,999.9,0,615
2074,7,2013,9,15,15/09/2013,61.2,50.7,1019.4,10,6.6,13,17.1,68,51.1,0,999.9,0,476
2076,5,2018,9,7,07/09/2018,71.1,64.3,1020.5,10,8.7,13,18.1,80.1,66,0.01,999.9,0,671
2077,7,2012,9,16,16/09/2012,65.1,46.5,1018.9,10,1.9,13,20,73,53.6,0,999.9,0,458
2079,3,2013,9,11,11/09/2013,69.9,66.8,1019.3,6.8,10.9,13,19,73.9,61,0,999.9,0,576
2082,7,2014,9,21,21/09/2014,66.1,63.2,1015.7,8.1,8.1,13,17.1,71.6,62.1,0,999.9,0,515
2084,6,2013,9,14,14/09/2013,64.5,57.6,1010.4,10,9.1,13,19,73.9,60.1,0.13,999.9,0,519
2085,1,2013,9,16,16/09/2013,62.4,54.8,1017.9,10,7.4,13,15,70,51.1,0,999.9,0,570
2088,3,2019,9,25,25/09/2019,63.8,54.6,1009.9,10,9.7,13,17.1,73,59,0,999.9,0,604
2091,2,2015,9,15,15/09/2015,70.8,58.4,1022.7,10,10.1,13,18.1,79,64,0,999.9,0,579
2098,6,2012,9,15,15/09/2012,67.2,54.1,1019.1,10,5.1,14,20,72,60.1,0.01,999.9,0,557
2105,5,2017,9,8,08/09/2017,65.4,60.5,1017.2,9.5,11.3,14,17.1,70,60.1,0.55,999.9,0,740
2106,7,2012,9,30,30/09/2012,60.5,52.5,1010,9.5,3.9,14,20,68,55.9,0.75,999.9,0,449
2107,3,2014,9,3,03/09/2014,74,65.1,1012.3,8.1,9.7,14,22,82,66.9,0,999.9,1,580
2110,2,2018,9,4,04/09/2018,75.7,70.6,1022.4,6.1,9.9,14,19,86,66,0,999.9,1,786
2111,1,2016,9,19,19/09/2016,71,68.8,1018.7,7.6,8.1,14,20,75,68,0,999.9,0,680
2114,6,2012,9,29,29/09/2012,62.4,58.8,1013,7.6,3.9,14,21,68,57,0.37,999.9,1,485
2115,3,2013,9,4,04/09/2013,68.5,61.9,1011.4,8.9,8.8,15,20,73.9,63,0.06,999.9,0,604
2116,5,2013,9,13,13/09/2013,69.1,67,1004.5,6.1,8.9,15,19,75,66.9,0.01,999.9,1,652
2117,3,2015,9,23,23/09/2015,62.4,55.2,1023.3,10,9.8,15,20,70,55,0,999.9,0,501
2118,6,2014,9,13,13/09/2014,59.9,53.2,1022.2,9.6,7.6,15,21,70,52,0,999.9,0,558
2119,7,2013,9,22,22/09/2013,66.3,63.4,1007,8.8,9.8,15,29.9,72,60.1,0.24,999.9,0,585
2120,3,2014,9,24,24/09/2014,58.9,51.3,1033.3,10,6.7,15,21,68,48.9,0,999.9,0,566
2121,1,2013,9,23,23/09/2013,57.5,44.9,1011.2,10,10.4,15,22,69.1,48.9,0,999.9,0,661
2122,6,2012,9,22,22/09/2012,66.3,60.6,1012.6,8.1,5.6,15,20,75.9,60.1,0.01,999.9,0,547
2124,2,2012,9,25,25/09/2012,62,43.4,1021,10,4.9,15,15.9,72,46,0,999.9,0,593
2125,4,2014,9,25,25/09/2014,59.7,55.3,1031,8.6,8.9,15,21,68,48.9,0,999.9,0,491
2126,4,2013,9,19,19/09/2013,62.4,54.6,1020.3,10,9.6,15,19,69.1,43,0,999.9,0,536
2128,6,2014,9,6,06/09/2014,72,69.9,1014.3,6.9,10.7,15,18.1,77,64.9,0.01,999.9,1,553
2129,2,2015,9,22,22/09/2015,63.5,55.8,1024.6,10,10.4,15,17.1,70,60.1,0,999.9,0,571
2130,2,2014,9,9,09/09/2014,64.6,56.5,1025,10,10.9,15,22.9,73,55.9,0,999.9,0,592
2131,4,2018,9,6,06/09/2018,72.6,70.2,1021,9.4,9.8,15,24.1,80.1,61,0,999.9,0,822
2132,5,2012,9,28,28/09/2012,65.2,61.8,1019.8,5.9,5.1,15.9,22.9,69.1,51.8,0.25,999.9,1,703
2133,2,2014,9,23,23/09/2014,59,42.3,1022.8,10,9.3,15.9,22.9,72,53.1,0.01,999.9,0,592
2134,4,2012,9,20,20/09/2012,61,48.3,1021.5,10,4.6,15.9,22.9,68,55,0.04,999.9,0,522
2135,6,2012,9,8,08/09/2012,75.3,69.6,1007.5,8.8,5.8,15.9,28.9,81,69.1,0,999.9,1,598
2136,2,2019,9,17,17/09/2019,61.5,53,1018.2,10,9.2,15.9,20,70,54,0,999.9,0,635
2137,5,2017,9,1,01/09/2017,62.7,50,1015.1,10,10.6,15.9,22,75,55,0,999.9,0,681
2138,2,2018,9,18,18/09/2018,71,69.2,1012.1,8.1,8.7,15.9,22,75.9,68,0.01,999.9,0,740
2139,7,2018,9,9,09/09/2018,62.6,50.8,1022.8,10,10,15.9,22.9,73,59,0.01,999.9,0,556
2141,4,2013,9,12,12/09/2013,70.2,67.6,1013.7,5.3,11.4,15.9,20,75,66.9,0,999.9,0,695
2143,4,2019,9,19,19/09/2019,57.3,45.7,1025.5,10,11.4,15.9,22,64,50,0.02,999.9,0,605
2144,5,2018,9,28,28/09/2018,60.5,58.5,1017.8,6.3,8.5,15.9,19,70,55.9,0.1,999.9,0,712
2145,2,2018,9,11,11/09/2018,68.9,67.5,1021.2,7.4,10,15.9,24.1,75.9,61,0.18,999.9,1,544
2146,1,2013,9,9,09/09/2013,59.8,42.5,1021.4,10,8.2,15.9,22,75.9,50,0,999.9,0,632
2147,1,2015,9,7,07/09/2015,73,66.9,1019,10,11.9,15.9,22,79,64,0,999.9,0,485
2149,1,2014,9,8,08/09/2014,63.6,55.3,1025.3,10,7.8,15.9,21,75,55.9,0.01,999.9,0,598
2150,1,2019,9,23,23/09/2019,68.5,65.6,1013.3,8.1,12,15.9,19,73,57,0,999.9,0,639
2151,5,2019,9,27,27/09/2019,63.5,56.6,1017.6,8.8,7.7,15.9,21,72,55,0.27,999.9,0,703
2152,5,2012,9,21,21/09/2012,64.7,53.7,1018.9,10,4.7,16.9,22,73,51.8,0,999.9,0,654
2153,4,2012,9,27,27/09/2012,69,60.4,1019.4,8.7,1.8,16.9,20,73.9,55.4,0.01,999.9,0,620
2154,3,2012,9,5,05/09/2012,75.2,71.5,1009.7,6.7,5.4,16.9,22.9,80.1,71.1,0.13,999.9,0,601
2155,6,2012,9,1,01/09/2012,81.6,61.3,1014.6,9.9,4.7,16.9,22.9,90,62.6,0,999.9,0,515
2156,7,2012,9,9,09/09/2012,68.4,57.3,1009.6,9.5,3,16.9,21,75.9,60.8,0.04,999.9,0,464
2157,2,2016,9,27,27/09/2016,65.4,59.8,1015.4,7.1,11,17.1,24.1,66.9,60.1,0.01,999.9,0,659
2158,6,2015,9,5,05/09/2015,66.8,55.9,1024.6,10,9.3,17.1,18.1,73,54,0,999.9,0,541
2159,5,2017,9,29,29/09/2017,59.6,48.5,1013.9,10,10.6,17.1,25.1,72,53.1,0.2,999.9,0,757
2160,3,2016,9,14,14/09/2016,68.4,61.8,1018.3,10,12.4,17.1,22.9,73.9,57.9,0,999.9,0,779
2161,4,2013,9,5,05/09/2013,67.4,62.1,1013.8,10,10.4,17.1,22,75.9,61,0,999.9,0,493
2162,6,2015,9,12,12/09/2015,67.7,59.2,1011,9.9,8.8,17.1,22.9,73,61,0,999.9,0,554
2164,7,2016,9,25,25/09/2016,57.6,39.4,1018.8,10,10.8,17.1,24.1,66,48,0,999.9,0,572
2165,1,2017,9,4,04/09/2017,65.4,62.2,1012.4,9.6,13.4,17.1,24.1,70,53.1,0.16,999.9,0,532
2166,4,2013,9,26,26/09/2013,56.8,46.4,1015.6,10,8,17.1,20,64,44.1,0,999.9,0,516
2167,3,2014,9,10,10/09/2014,66.2,61.2,1019.1,10,11.3,17.1,22,73,60.1,0,999.9,0,618
2168,6,2013,9,7,07/09/2013,63.6,50.4,1017.9,10,10.2,17.1,22,71.1,52,0,999.9,0,585
2169,2,2019,9,24,24/09/2019,68.6,64.4,1006.9,7.8,11.1,17.1,26,73,64.9,0.92,999.9,0,628
2170,7,2014,9,14,14/09/2014,62.2,54.3,1020.7,10,9.6,17.1,24.1,68,52,0.04,999.9,0,528
2171,2,2015,9,8,08/09/2015,76.4,69.6,1015.8,9.1,13.5,17.1,22.9,81,70,0,999.9,0,795
2172,2,2012,9,11,11/09/2012,62.8,41.8,1022.9,10,3.1,18.1,26,72,54,0,999.9,0,521
2173,5,2016,9,2,02/09/2016,69.2,63.2,1015.1,9.4,9.9,18.1,21,77,62.1,0.05,999.9,0,697
2174,7,2017,9,10,10/09/2017,61.1,56.3,1024.2,9.7,9.9,18.1,24.1,69.1,54,0,999.9,0,533
2175,5,2013,9,27,27/09/2013,58.1,51.2,1020.2,10,11.5,18.1,24.1,64,46.9,0,999.9,0,553
2176,6,2016,9,24,24/09/2016,60.7,49.5,1017.5,10,12.7,18.1,24.1,75.9,50,0.07,999.9,0,612
2177,5,2015,9,25,25/09/2015,61.2,50.2,1027.9,10,10.3,18.1,22,73,50,0,999.9,0,585
2178,5,2014,9,12,12/09/2014,67.1,58.8,1016.6,9.7,11.4,18.1,22,73,54,0,999.9,0,730
2179,2,2017,9,5,05/09/2017,68.1,66.4,1012.1,6.9,14,18.1,24.1,73,62.1,0,999.9,0,707
2180,3,2016,9,7,07/09/2016,70.3,66.8,1016.3,8.4,13.1,18.1,26,77,64.9,0.01,999.9,0,648
2182,5,2019,9,13,13/09/2019,59.6,50.1,1029,10,11.8,18.1,25.1,71.1,54,0.38,999.9,0,687
2183,2,2013,9,10,10/09/2013,65.5,57.5,1022,10,10.1,18.1,22.9,72,50,0,999.9,0,629
2184,3,2017,9,6,06/09/2017,69.6,68.6,1013.2,6,13.6,18.1,28.9,75,64.9,0,999.9,0,608
2185,7,2013,9,8,08/09/2013,68,59.3,1010.5,10,13.3,19,26,75.9,57,0,999.9,0,500
2186,1,2013,9,30,30/09/2013,59.5,54.3,1016.9,9.8,10.4,19,22.9,66.9,45,0.01,999.9,0,605
2187,1,2014,9,1,01/09/2014,71.5,69.2,1015.6,6.8,9.3,19,25.1,77,66,0.14,999.9,0,392
2188,7,2016,9,11,11/09/2016,71.3,67.8,1015.3,6.4,11.9,19,24.1,78.1,64.9,0,999.9,1,538
2189,3,2018,9,26,26/09/2018,69.4,67.3,1017.4,6.9,14.7,19,25.1,75,55.9,0.41,999.9,0,755
2190,4,2018,9,20,20/09/2018,63.7,57.9,1020.6,9.1,11.3,19,25.1,69.1,60.1,0.01,999.9,0,659
2191,4,2019,9,12,12/09/2019,65.4,63.4,1018.9,6.2,11.2,19,24.1,73.9,59,0.32,999.9,1,689
2192,1,2018,9,10,10/09/2018,62.3,55.4,1025.1,9.5,13.4,19,26,68,59,0,999.9,0,650
2193,5,2014,9,19,19/09/2014,57.2,42.7,1024.1,10,12.5,19,26,72,46,0,999.9,0,648
2194,2,2012,9,18,18/09/2012,70.6,64.8,1011.8,7.6,5.5,19,27,75.2,57.2,0.11,999.9,1,556
2197,5,2016,9,30,30/09/2016,60.1,54.5,1028.7,7.8,15.6,20,28.9,63,57.9,0.01,999.9,0,872
2198,1,2012,9,10,10/09/2012,65.4,49.1,1014.3,10,5.7,20,26,71.1,55.4,0.16,999.9,0,637
2199,7,2015,9,20,20/09/2015,70.7,65.3,1014.1,7.5,8.9,20,27,80.1,64,0,999.9,1,556
2200,6,2018,9,22,22/09/2018,68.8,60.1,1017.3,9.6,14.4,20,26,78.1,53.1,0,999.9,0,562
2201,7,2014,9,7,07/09/2014,70.1,62.9,1015.8,9,11,20,24.1,77,62.1,0,999.9,0,477
2202,7,2019,9,29,29/09/2019,66.9,62,1021.4,8.7,11.4,20,26,72,55,0,999.9,0,488
2203,6,2015,9,26,26/09/2015,59.4,47.2,1030.1,10,11.4,20,26,70,52,0,999.9,0,557
2204,4,2017,9,28,28/09/2017,69.4,66.3,1005.9,4.9,9.3,20,28,77,64,0.07,999.9,1,740
2205,2,2017,9,19,19/09/2017,65.5,65.4,1016.3,3.3,14.5,20,28,71.1,63,0.02,999.9,1,661
2206,3,2019,9,18,18/09/2019,56,48.7,1022.6,9.9,11.3,21,27,68,51.1,0,999.9,0,605
2207,4,2018,9,27,27/09/2018,66.3,62.6,1016.6,8.5,13.2,21,28,75,60.1,0.11,999.9,0,672
2209,7,2016,9,4,04/09/2016,65.3,57.4,1022,10,12.7,21,28.9,73,55.9,0,999.9,0,466
2210,1,2015,9,21,21/09/2015,63.9,52.9,1020.3,10,17.3,21,28.9,80.1,61,0,999.9,0,624
2212,5,2015,9,4,04/09/2015,70.6,65.2,1019.1,6.8,12,21,26,75,64,0,999.9,1,643
2213,2,2018,9,25,25/09/2018,60.5,55.1,1032.1,8.7,14.4,21,27,64.9,51.1,0,999.9,0,715
2214,4,2016,9,29,29/09/2016,60,54.9,1027.1,9.3,17.8,21,28.9,64.9,57.9,0.01,999.9,0,624
2215,1,2018,9,24,24/09/2018,57.4,50.3,1030.2,10,10.1,21,26,64,50,0,999.9,0,594
2216,3,2016,9,28,28/09/2016,63.1,60.7,1018.8,5.7,11.3,21,27,66.2,60.1,1,999.9,0,637
2217,3,2012,9,19,19/09/2012,66.7,56.1,1015.2,7.6,6.3,21,27,73,57,0.68,999.9,0,612
2219,6,2017,9,23,23/09/2017,62.6,62.6,1012.3,2.1,17.2,22,31.1,64.9,61,0.3,999.9,1,631
2221,2,2013,9,17,17/09/2013,56.1,43.1,1024.7,10,16.3,22.9,29.9,70,51.1,0.02,999.9,0,627
2222,4,2016,9,15,15/09/2016,64.5,53.4,1022,10,14.4,22.9,29.9,73.9,53.1,0,999.9,0,757
2223,1,2014,9,22,22/09/2014,67.9,61.5,1007,8.2,12.3,22.9,27,72,61,0.11,999.9,1,662
2224,1,2015,9,14,14/09/2015,67.6,57.8,1013.1,10,14.5,24.1,31.1,70,63,0,999.9,0,579
2226,3,2015,9,30,30/09/2015,70.5,68.3,1012.7,4.1,15.5,26,33,75,63,0.34,999.9,0,634
2227,3,2017,9,20,20/09/2017,66.1,66.1,1006.4,3.2,21.3,31.1,40,70,63,0.59,999.9,0,583
2229,1,2016,9,5,05/09/2016,64,59.8,1017.8,7,23.8,34,49,73,59,0,999.9,0,419
2253,4,2012,10,18,18/10/2012,56.8,46.7,1016.1,9.7,3.1,9.9,15.9,64.9,42.8,0,999.9,0,630
2265,6,2015,10,31,31/10/2015,48.9,37.4,1020.4,10,5.7,11.1,17.1,61,35.1,0,999.9,0,357
2267,6,2013,10,19,19/10/2013,57.3,45,1013.9,10,6.2,11.1,15.9,68,46.9,0,999.9,0,471
2274,6,2014,10,4,04/10/2014,59.4,57.3,1007.1,6.8,5.7,11.1,22,64,57,0.02,999.9,1,531
2281,6,2012,10,27,27/10/2012,61.9,53.9,1017,9.6,4.3,12,16.9,64.9,42.8,0,999.9,0,524
2299,5,2013,10,25,25/10/2013,48,30.2,1015.2,10,9.2,13,21,54,43,0,999.9,0,647
2300,7,2018,10,14,14/10/2018,52.8,37.7,1020.7,10,8.9,13,18.1,57.9,46.9,0.04,999.9,0,516
2301,7,2013,10,6,06/10/2013,59.1,54.8,1021.1,6.9,7.2,14,22,64.9,53.1,0,999.9,1,404
